"Gene ID"	"Fraction of isolates with >0.75 of gene missing"	"Nucleotide Diversity 1990"	"Nucleotide Diversity 2015"	"Watterson's Theta 1990"	"Watterson's Theta 2015"	"Tajima's D 1990"	"Tajima's D 2015"	"Fst 1990 vs 2015"	"Composite Likelihood Ratio 1990"	"Composite Likelihood Ratio 2015"
"ID=PCA_SD_00688"	0	0.00064	0.00302	0.00098	0.00188	-0.88982	1.64691	NA	17.48851	35.73356
"ID=PCA_SD_00743"	0	0.00065	0.00437	0.00077	0.00262	-0.37441	1.91312	NA	12.39873	50.74028
"ID=PCA_SD_00750"	0	0.00279	0.00159	0.00202	0.00172	1.08366	-0.18489	NA	39.59243	33.14305
"ID=PCA_SD_00779"	0	0.00081	0.00422	0.00307	0.00319	-2.28687	0.91294	NA	51.41536	65.55434
"ID=PCA_SD_00806"	0	2e-04	6e-04	3e-04	0.00034	-0.79591	1.63298	0.14643	14.26784	18.7219
"ID=PCA_SD_00860"	0	0.00099	0.00216	0.00164	0.00139	-1.01258	1.19588	0.01283	19.13425	21.76234
"ID=PCA_SD_00866"	0	0	0.00088	NA	0.00084	NA	0.09201	-0.01423	NA	11.37047
"ID=PCA_SD_00890"	0	0.00063	0.00141	0.00195	0.00083	-1.73164	1.19758	0.03313	19.53373	12.12084
"ID=PCA_SD_00898"	0	0.00082	0.00095	0.00214	0.00252	-2.03453	-1.90398	0.13161	70.10047	65.75963
"ID=PCA_SD_00908"	0	0.00241	0.00283	0.00205	0.0016	0.57544	2.18357	0.11142	64.23011	53.28683
"ID=PCA_SD_00941"	0	0.00193	0.00222	0.00167	0.00111	0.30547	1.69295	NA	9.72021	11.09107
"ID=PCA_SD_01003"	0	0.00255	0.0035	0.0034	0.00204	-0.58799	1.42071	NA	13.37765	16.05782
"ID=PCA_SD_01033"	0	0.00164	0.00103	0.00115	0.00115	0.99939	-0.23975	NA	23.08075	19.36679
"ID=PCA_SD_01038"	0	0.00165	0.00027	0.0015	0.00176	0.2358	-2.15851	NA	39.76138	31.50626
"ID=PCA_SD_01104"	0.02	0.0051	0.00205	0.00397	0.00117	0.8613	1.76969	-0.02087	42.99824	21.88213
"ID=PCA_SD_01130"	0	0.00168	0.00127	0.00174	0.00116	-0.07093	0.16407	0	10.78459	14.67735
"ID=PCA_SD_01137"	0	0.00912	0.0093	0.00674	0.00524	1.08215	2.28431	0.02684	53.12609	65.91166
"ID=PCA_SD_01147"	0	0.00729	0.00423	0.00323	0.00381	3.54951	0.3199	0.09814	61.54621	45.91276
"ID=PCA_SD_01208"	0	0.01192	0.01224	0.00741	0.00662	1.96014	2.70343	0.12875	63.4053	84.27602
"ID=PCA_SD_01212"	0	0.00266	0.00214	0.00304	0.00276	-0.35297	-0.62941	0.02854	41.67905	47.72899
"ID=PCA_SD_01213"	0	0.00517	0.0043	0.00474	0.00373	0.26831	0.43577	0.01405	26.36792	33.79082
"ID=PCA_SD_01218"	0	0.00128	0.0013	0.00124	0.00124	0.07007	0.11176	0	15.90409	15.88982
"ID=PCA_SD_01226"	0	0.00167	0.00169	0.00111	0.00111	0.98507	1.03212	-0.0144	19.54567	17.14777
"ID=PCA_SD_01247"	0	0.00128	0.0014	0.00161	0.00101	-0.53661	0.90217	0.01648	23.1147	23.47631
"ID=PCA_SD_01254"	0	0.01085	0.00212	0.00636	0.00636	2.18063	-2.05353	0.15754	100.22469	73.83
"ID=PCA_SD_01286"	0	0.0033	0.00322	0.00205	0.00205	1.60708	1.5002	0.10827	24.80429	25.36262
"ID=PCA_SD_01294"	0	7e-04	0.00378	0.00049	0.00685	0.53909	-1.32309	0.0031	6.16178	78.51992
"ID=PCA_SD_01301"	0	0.00015	8e-05	0.00051	0.00051	-0.8912	-1.08393	-0.01117	5.71282	4.50089
"ID=PCA_SD_01339"	0	0.00119	0.00116	0.0018	0.00051	-0.87051	2.15229	0.02947	17.34561	10.49945
"ID=PCA_SD_01340"	0	5e-05	0	0.00034	NA	-1.08393	NA	0	3.46074	NA
"ID=PCA_SD_01341"	0	0.00054	0.00032	0.00256	0.00205	-2.18127	-2.22844	-0.01695	31.30938	36.00716
"ID=PCA_SD_01342"	0	0.00085	0.00074	0.00101	0.00034	-0.32186	1.54334	-0.01695	11.29946	6.47621
"ID=PCA_SD_01372"	0	0.00064	0.00117	0.00059	0.00059	0.12319	1.27283	0	6.6269	7.99602
"ID=PCA_SD_01403"	0	0.01921	0.01366	0.0088	0.0088	3.82833	1.78723	-0.02708	147.09361	134.42108
"ID=PCA_SD_01439"	0	0.00355	0.0036	0.00162	0.00162	2.58625	2.64808	0.14314	23.30162	20.95908
"ID=PCA_SD_01474"	0.02	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_01476"	0.02	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_01478"	0.02	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_01508"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_01510"	0	0.00298	0.0031	0.00182	0.00146	1.48175	2.45828	0.08573	28.68126	26.82683
"ID=PCA_SD_01511"	0	0.00265	0.00295	0.00151	0.00151	1.64448	2.0672	0.1056	19.5125	18.8156
"ID=PCA_SD_01521"	0	0.00114	0.00135	0.00213	0.0016	-1.0198	-0.30966	0.07447	11.89501	11.94716
"ID=PCA_SD_01525"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_01533"	0	0.00048	0.00082	0.00062	0.00093	-0.38759	-0.22601	0.04059	10.39848	12.47783
"ID=PCA_SD_01556"	0	0.00125	0.00125	0.001	0.001	0.5503	0.54742	-0.00741	15.71426	15.43803
"ID=PCA_SD_01566"	0	0.00038	0.00023	0.00024	0.00024	0.78254	-0.02897	0.01901	6.48666	6.69084
"ID=PCA_SD_01612"	0	0.00062	0.00025	0.00111	0.00056	-1.07696	-1.09033	0.00767	26.2223	18.04997
"ID=PCA_SD_01630"	0	0.00537	0.00507	0.00382	0.00234	1.242	3.29808	0.02926	61.94475	54.78502
"ID=PCA_SD_01631"	0	0.00227	0.00173	0.00198	0.0011	0.39957	1.35255	0.04887	21.24352	16.68219
"ID=PCA_SD_01707"	0	0.00467	0.00261	0.00418	0.00348	0.28973	-0.58307	0.03017	22.93705	22.45176
"ID=PCA_SD_01745"	0	0.00884	0.00333	0.0067	0.00398	1.0546	-0.51401	0.13232	107.18555	88.74099
"ID=PCA_SD_01746"	0	0.0112	0.00201	0.00881	0.00808	0.91196	-2.51134	0.11927	206.25635	178.31571
"ID=PCA_SD_01871"	0	0.00074	0.00014	0.00096	0.00024	-0.49787	-0.52602	0.04077	23.93694	7.03727
"ID=PCA_SD_01875"	0	0.00147	0.00037	0.00297	0.00099	-1.24308	-1.0721	0.03593	19.78703	8.76558
"ID=PCA_SD_01924"	0	0.0061	0.00415	0.00301	0.00358	2.79264	0.40403	NA	29.76682	32.18193
"ID=PCA_SD_01939"	0	0.00206	0.00912	0.00171	0.00435	0.53075	3.14038	NA	20.43759	73.09411
"ID=PCA_SD_01946"	0	0.00072	0.00327	0.00037	0.00156	1.50748	2.56707	NA	8.01319	29.81882
"ID=PCA_SD_01975"	0	0.00444	0.00519	0.00258	0.00219	1.96775	3.18972	NA	32.64522	22.62533
"ID=PCA_SD_01984"	0	0.00204	0.00192	0.00723	0.00614	-2.39715	-2.02206	NA	73.95567	57.59622
"ID=PCA_SD_01990"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_02001"	0	0.00094	0.00397	0.00055	0.00216	1.68309	2.45725	NA	17.20201	44.64055
"ID=PCA_SD_02087"	0	0.00546	0.00506	0.00674	0.00309	-0.5988	1.80509	-0.00148	62.73708	39.86567
"ID=PCA_SD_02096"	0	0.0103	0.01611	0.0099	0.00904	0.12539	2.43956	0.14634	66.27669	94.61503
"ID=PCA_SD_02106"	0	0.00822	0.00922	0.00538	0.00615	1.34863	1.31772	0.01842	32.01535	21.22695
"ID=PCA_SD_02120"	0	0.00165	0.00115	0.00214	0.00071	-0.46126	0.78254	0.00132	10.68013	7.25607
"ID=PCA_SD_02142"	0.05	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_02192"	0	0.00193	0.00189	0.00174	0.00152	0.29845	0.61565	NA	22.9307	25.38381
"ID=PCA_SD_02199"	0	0.00071	0.00118	0.00065	0.00086	0.18697	0.81629	NA	14.47743	17.94946
"ID=PCA_SD_02206"	0	0.00356	0.00158	0.00208	0.00208	1.66387	-0.55846	NA	20.5138	17.42939
"ID=PCA_SD_02208"	0	0.00608	0.00607	0.00606	0.00606	0.00972	0.0068	NA	42.78895	41.57469
"ID=PCA_SD_02234"	0	0.00073	0.00015	0.00051	0.00026	0.71122	-0.52602	NA	12.48941	7.03727
"ID=PCA_SD_02238"	0	0.00106	0.00032	0.00052	0.00026	1.75825	0.26859	NA	11.61865	6.37695
"ID=PCA_SD_02239"	0	0.00317	0.00205	0.00265	0.00212	0.54671	-0.08823	NA	31.5992	23.10498
"ID=PCA_SD_02247"	0	0.00732	0.00563	0.00506	0.00453	1.37644	0.73526	NA	54.15126	65.11968
"ID=PCA_SD_02299"	0	0.00067	0.00027	0.00099	0.00149	-0.70923	-2.01326	NA	15.09869	23.09274
"ID=PCA_SD_02307"	0	0.00382	0.00539	0.00363	0.00415	0.13277	0.78767	NA	21.04153	25.31038
"ID=PCA_SD_02313"	0	0.01153	0.00663	0.00693	0.00627	2.07187	0.17871	NA	59.84878	68.7627
"ID=PCA_SD_02315"	0	0.0045	0.00256	0.00266	0.00233	1.8165	0.24628	NA	32.7149	25.15599
"ID=PCA_SD_02322"	0	0.00209	0.0015	0.00127	0.00063	1.10977	1.75636	NA	12.05138	6.2895
"ID=PCA_SD_02334"	0	0.00249	0.00148	0.00161	0.00108	1.33066	0.82636	NA	21.21738	18.47633
"ID=PCA_SD_02343"	0	0.00074	6e-04	0.00036	0.00072	1.3506	-0.27951	NA	7.83242	8.83409
"ID=PCA_SD_02373"	0	0.00286	0.00297	0.00177	0.00244	1.62185	0.61826	NA	30.80262	63.93117
"ID=PCA_SD_02390"	0	0.00658	0.00273	0.00412	0.00275	1.4655	-0.01764	NA	19.08483	14.07085
"ID=PCA_SD_02534"	0	0.00335	0.00362	0.00153	0.00153	2.93574	3.36721	0.02253	43.64659	38.62306
"ID=PCA_SD_02664"	0	0.00115	0.00046	0.00302	0.00201	-1.52246	-1.68264	0.09488	17.25203	15.02066
"ID=PCA_SD_02669"	0	0.00032	0.00016	0.00027	0.00027	0.26859	-0.52602	0.01896	7.27566	7.03727
"ID=PCA_SD_02673"	0	0.00299	0.00342	0.00249	0.00226	0.5696	1.41129	0.03855	22.6545	27.40515
"ID=PCA_SD_02691"	0	0.0022	0.00189	0.00174	0.00131	0.5733	0.88574	0.00447	18.23764	12.28122
"ID=PCA_SD_02708"	0.05	0.00041	0.00664	0.00018	0.00511	1.67521	0.96197	-0.00786	7.86353	44.0939
"ID=PCA_SD_02756"	0	0.00524	0.00549	0.00338	0.00308	1.5469	2.17664	0.01779	56.22071	67.49378
"ID=PCA_SD_02769"	0	0.00605	0.00455	0.0029	0.00266	3.11268	2.00785	0.09624	69.35228	67.97124
"ID=PCA_SD_02816"	0	0.00195	0.00178	0.00159	0.00079	0.39374	1.59405	-0.02892	8.55168	7.97935
"ID=PCA_SD_02826"	0	0.00102	7e-04	0.00109	0.00036	-0.12669	1.1883	0.00181	11.6103	8.02128
"ID=PCA_SD_02913"	0	0.00161	0.00211	0.00178	0.00178	-0.27336	0.5095	0.01974	42.60333	47.6153
"ID=PCA_SD_02952"	0	0.00275	0.00286	0.00184	0.00147	1.36167	2.48559	0.01997	29.70411	34.04741
"ID=PCA_SD_02970"	0	0.00037	0.00035	0.00147	0.00049	-1.47718	-0.35357	0	11.06729	6.1057
"ID=PCA_SD_02977"	0	0.00468	0.00441	0.00234	0.00234	2.55199	2.26245	0.4059	37.71116	44.53641
"ID=PCA_SD_03053"	0	0.0039	0.00422	0.00362	0.00362	0.2224	0.47806	0	36.72677	40.08813
"ID=PCA_SD_03067"	0	0.00195	0.00151	0.00256	0.00114	-0.64715	0.72284	NA	26.8142	19.08937
"ID=PCA_SD_03068"	0	0.00262	0.00214	0.00146	0.00122	1.94551	1.77215	NA	20.61769	25.31987
"ID=PCA_SD_03085"	0	0.00011	0	0.00038	NA	-0.8912	NA	NA	5.71282	NA
"ID=PCA_SD_03105"	0	0.00125	0.00102	0.00159	0.00063	-0.48955	1.03771	NA	23.70971	12.62639
"ID=PCA_SD_03140"	0	0.0039	0.00344	0.00277	0.00198	1.26483	2.18997	NA	46.28355	42.18776
"ID=PCA_SD_03166"	0	0.00151	0.00643	0.00175	0.0057	-0.3847	0.40476	0.04684	29.56339	57.52639
"ID=PCA_SD_03255"	0	0.00456	0.00133	0.00234	0.00234	2.44238	-1.11196	0.06761	27.73796	22.07867
"ID=PCA_SD_03307"	0	0.01019	0.00091	0.00518	0.00345	3.43062	-2.49921	0.15996	192.3166	95.92
"ID=PCA_SD_03391"	0	0.00294	0.00314	0.0044	0.00385	-0.87289	-0.47035	0.13868	20.38455	22.14561
"ID=PCA_SD_03405"	0	0.0042	0.00375	0.00284	0.00379	1.17425	-0.02741	-0.00236	25.11791	23.83895
"ID=PCA_SD_03458"	0	0.00202	0.00214	0.00213	0.00116	-0.15223	2.06309	NA	28.03863	23.59794
"ID=PCA_SD_03502"	0	0.00328	0.0036	0.00198	0.0017	1.67472	2.74805	NA	25.67782	31.99117
"ID=PCA_SD_03518"	0	0.00036	0.00062	0.00062	0.00145	-0.8394	-1.4592	NA	9.26417	29.71409
"ID=PCA_SD_03540"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_03614"	0	0.00444	0.00446	0.00414	0.00328	0.23452	1.12541	0.01633	50.93974	53.91125
"ID=PCA_SD_03628"	0	0.0045	0.00485	0.00379	0.00253	0.50662	2.26049	0.13918	16.97514	26.69836
"ID=PCA_SD_03629"	0	0.01273	0.00384	0.00754	0.00787	2.1688	-1.62406	0.11067	132.65501	122.77151
"ID=PCA_SD_03708"	0	0.00069	0.00086	0.00071	0.00071	-0.02897	0.26859	NA	7.16655	6.37695
"ID=PCA_SD_03711"	0	0.00375	0.00366	0.00343	0.00269	0.30857	1.19088	NA	60.37014	108.28822
"ID=PCA_SD_03740"	0.02	0.00015	0	0.00048	NA	-0.8912	NA	NA	5.71282	NA
"ID=PCA_SD_03832"	0	0.00078	0.00104	0.00046	0.00046	0.89413	1.59405	0.03108	6.36449	7.97935
"ID=PCA_SD_03835"	0	0.00012	0.00022	0.00038	0.00038	-0.8912	-0.52602	0	5.71282	7.03727
"ID=PCA_SD_03854"	0	0.00199	0.00222	0.00399	0.00363	-1.41543	-1.07811	0	33.70623	50.98738
"ID=PCA_SD_03855"	0	0.00227	0.00252	0.00459	0.00426	-1.48882	-1.18933	0.03448	35.9905	56.34639
"ID=PCA_SD_03863"	0	1e-04	5e-04	0.00065	0.00163	-1.44362	-1.62163	0	6.92147	29.975
"ID=PCA_SD_03868"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_03888"	0	0.003	6e-04	0.00134	0.00134	2.46102	-1.09033	0.21289	17.29092	18.04997
"ID=PCA_SD_03891"	0	0.00046	0.00035	0.00079	0.00079	-0.52602	-0.70523	0	6.89396	6.01666
"ID=PCA_SD_03904"	0	0.00075	0	0.00102	NA	-0.53731	NA	NA	11.19296	NA
"ID=PCA_SD_03997"	0	0.00929	0.00739	0.00745	0.00645	0.73888	0.42248	NA	59.18719	36.98076
"ID=PCA_SD_04019"	0	0.00088	7e-04	0.00049	0.00073	1.38672	-0.0779	NA	12.84468	11.39196
"ID=PCA_SD_04021"	0	0.00125	0.00063	0.00106	0.00106	0.42965	-0.9473	NA	18.14209	16.46348
"ID=PCA_SD_04096"	0	0.00033	0.00144	0.00019	0.00165	1.12421	-0.35362	0.03311	7.57774	54.92585
"ID=PCA_SD_04126"	0	0.00604	0.00752	0.0044	0.00393	1.29348	2.82692	0.03959	71.48044	80.99855
"ID=PCA_SD_04131"	0	0.00341	0.00836	0.00414	0.00398	-0.59518	3.32995	0.07128	67.67259	70.12514
"ID=PCA_SD_04143"	0	0.00666	0.00315	0.00371	0.00303	2.24305	0.10617	NA	47.93723	34.7448
"ID=PCA_SD_04145"	0	0.00886	0.01059	0.00439	0.00523	3.17572	3.26588	NA	89.83864	83.79442
"ID=PCA_SD_04172"	0	0.00208	1e-04	0.00384	0.00064	-1.12335	-1.08393	NA	21.71227	4.50089
"ID=PCA_SD_04180"	0.18	0.00161	0.00133	0.00227	0.00057	-0.63878	1.72931	NA	11.94586	7.87428
"ID=PCA_SD_04192"	0	0.00278	0.00217	0.00122	0.00122	2.54815	1.54443	NA	19.58031	22.16237
"ID=PCA_SD_04212"	0	0.00418	0.00363	0.00244	0.00192	2.09751	2.52489	NA	55.84825	58.04927
"ID=PCA_SD_04215"	0	0.00448	0.00514	0.00446	0.00297	0.01684	2.18811	0.04358	46.7094	48.62579
"ID=PCA_SD_04229"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_04234"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_04280"	0	0.00086	0.00137	0.00071	0.00214	0.26859	-0.71219	-0.01589	7.27566	10.78956
"ID=PCA_SD_04303"	0	0.00296	0.003	0.00303	0.00279	-0.06684	0.2161	0.02979	32.89505	40.25207
"ID=PCA_SD_04349"	0	0.006	0.00604	0.00369	0.00289	1.97074	3.33798	0.0155	78.40169	73.73341
"ID=PCA_SD_04412"	0	0.00042	0.00036	0.00059	0.00059	-0.56059	-0.75924	-0.01295	13.78345	12.75866
"ID=PCA_SD_04435"	0	0.00078	0.00075	0.00094	0.00054	-0.43957	0.8508	0.08774	17.06429	19.48484
"ID=PCA_SD_04500"	0	0.00288	0.00306	0.00203	0.00135	1.03186	2.74872	-0.00437	30.613	27.07834
"ID=PCA_SD_04504"	0	0.0025	0.00031	0.00109	0.00022	3.02606	0.53909	0.07851	23.98499	6.66487
"ID=PCA_SD_04506"	0	0.00138	0.00097	0.00087	0.00065	1.26058	0.95022	0.08057	15.06101	15.24406
"ID=PCA_SD_04543"	0	0.00047	0.00016	0.00155	0.00052	-1.38134	-0.8912	NA	9.12605	5.995
"ID=PCA_SD_04554"	0	0.00144	0.00017	0.00168	0.00056	-0.28003	-0.8912	NA	9.89796	5.995
"ID=PCA_SD_04557"	0	0.00555	0.00331	0.00461	0.00375	0.60965	-0.34098	NA	41.2122	48.65771
"ID=PCA_SD_04558"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_04564"	0	0.00229	0.00129	0.00222	0.00172	0.08952	-0.63868	NA	22.67791	20.50876
"ID=PCA_SD_04590"	0	0.00061	0.00061	0.00026	0.00026	1.70564	1.72931	NA	6.81448	7.87428
"ID=PCA_SD_04684"	0	0.00799	0.00719	0.0045	0.0045	2.32976	1.79486	NA	62.48473	88.73834
"ID=PCA_SD_04692"	0	0.00313	0.00212	0.00309	0.00265	0.04105	-0.57353	NA	37.26854	31.19706
"ID=PCA_SD_04695"	0	5e-05	0	0.00033	NA	-1.08393	NA	NA	3.46074	NA
"ID=PCA_SD_04727"	0	0.00078	0.00043	0.00112	0.00074	-0.60241	-0.71858	NA	10.07109	8.68795
"ID=PCA_SD_04796"	0	0.00272	0.00353	0.00189	0.00168	1.19809	2.90529	0.05278	32.50284	36.63156
"ID=PCA_SD_04823"	0	0.00423	0.00393	0.00182	0.00182	2.62134	2.29722	NA	17.6734	20.24492
"ID=PCA_SD_04852"	0	0.00986	0.00777	0.00894	0.00731	0.32458	0.19334	NA	44.99846	50.29794
"ID=PCA_SD_04857"	0	0.00191	0.00084	0.00555	0.00069	-1.73054	0.26859	NA	22.28578	6.37695
"ID=PCA_SD_04869"	0	0.00376	0.00489	0.005	0.005	-0.63291	-0.05673	NA	35.69073	36.42285
"ID=PCA_SD_04874"	0	0.00445	0.00438	0.00255	0.00255	2.06209	1.98475	NA	28.62065	31.32828
"ID=PCA_SD_04913"	0.02	0	0.00037	NA	0.00063	NA	-0.81326	NA	NA	21.11181
"ID=PCA_SD_04915"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_04940"	0	0.00644	0.0017	0.00538	0.00346	0.58038	-1.37827	NA	33.82061	30.82718
"ID=PCA_SD_04944"	0	0.00235	0.00156	0.00192	0.00137	0.56852	0.3226	NA	24.87535	23.43781
"ID=PCA_SD_04962"	0	0.00482	0.00555	0.00419	0.00293	0.41465	2.28265	NA	27.35472	39.28529
"ID=PCA_SD_04989"	0	0.00203	0.00257	0.00133	0.00113	1.095	2.19057	0.08821	11.44916	10.22735
"ID=PCA_SD_05057"	0	0.0041	0.00301	0.00333	0.00257	0.66714	0.47594	NA	25.8566	36.97785
"ID=PCA_SD_05075"	0.03	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_05120"	0	0.00526	0.00416	0.00437	0.0027	0.64026	1.56678	0.03874	40.18134	40.51905
"ID=PCA_SD_05173"	0	0.00328	0.00196	0.00271	0.00162	0.4961	0.41351	-0.02245	20.47497	17.42976
"ID=PCA_SD_05327"	0	0.00388	0.0011	0.00249	0.00186	1.48108	-1.00685	0.18682	39.79507	42.22362
"ID=PCA_SD_05330"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_05339"	0.07	0.00071	3e-05	0.00058	0.00019	0.47275	-1.08393	0	12.29515	4.50089
"ID=PCA_SD_05360"	0.17	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_05389"	0	0.00224	0.00046	0.00197	0.00066	0.33503	-0.51143	NA	18.53259	10.56109
"ID=PCA_SD_05398"	0	0.00504	0.00554	0.00278	0.00278	2.29239	2.79861	NA	66.31405	87.95619
"ID=PCA_SD_05509"	0	0.00814	0.0059	0.00625	0.00268	0.88747	2.95408	NA	44.48092	38.85723
"ID=PCA_SD_05513"	0.05	0	0.00095	NA	0.00072	NA	0.40722	NA	NA	6.86368
"ID=PCA_SD_05578"	0	0.00284	0.00054	0.00192	0.00043	1.30673	0.45003	0.15554	32.95163	9.27636
"ID=PCA_SD_05640"	0	0.00107	0.00033	0.00223	0.00056	-1.13483	-0.52602	-0.01492	12.47292	7.03727
"ID=PCA_SD_05688"	0	0.00018	0.00014	0.00068	0.00017	-1.60643	-0.18789	0	12.77749	5.46554
"ID=PCA_SD_05723"	0	0.00117	0.00095	0.00162	0.00041	-0.60427	1.72931	0.02792	12.32972	7.87428
"ID=PCA_SD_05759"	0	0.0053	0.00422	0.00357	0.00208	1.38103	2.62028	0.01484	36.78452	28.81867
"ID=PCA_SD_05791"	0	0.00334	0.0034	0.00216	0.0018	1.35115	2.0884	0.05036	22.19374	24.77719
"ID=PCA_SD_05817"	0	0.00225	0.00488	0.00299	0.00299	-0.62906	1.61893	0.07107	31.298	45.3033
"ID=PCA_SD_05823"	0	0.00906	0.00378	0.00455	0.0048	3.03798	-0.65667	0.11552	116.83748	60.71403
"ID=PCA_SD_05824"	0	0.00823	0.0052	0.00444	0.00444	2.61484	0.52603	0.06116	69.08022	65.66956
"ID=PCA_SD_05833"	0	0.00019	9e-05	0.00062	0.00031	-1.19143	-0.8912	-0.01342	7.23232	5.995
"ID=PCA_SD_05838"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_05877"	0.38	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_05892"	0	0.00464	0.00332	0.00739	0.00471	-1.16805	-0.868	0.05037	44.62225	60.73098
"ID=PCA_SD_05995"	0	0	0.00079	NA	0.00156	NA	-1.1528	0.07448	NA	25.39439
"ID=PCA_SD_06014"	0	0.00022	0.00022	0.00058	0.00049	-1.25553	-0.93925	-0.00721	9.83419	12.03331
"ID=PCA_SD_06024"	0	0.00017	0.00085	0.00066	0.00056	-1.147	0.6642	0.00921	5.71282	7.10579
"ID=PCA_SD_06058"	0	0.00849	0.00334	0.00483	0.00483	1.99811	-0.81728	0	49.23923	42.72823
"ID=PCA_SD_06060"	0	0.00635	0.00422	0.00438	0.00467	1.34463	-0.28829	0.05031	36.70414	39.52244
"ID=PCA_SD_06105"	0	0.0039	0.00491	0.00237	0.00271	1.64779	2.13714	0.01143	24.85494	32.81699
"ID=PCA_SD_06109"	0	0.00567	0.00629	0.00382	0.00287	1.27949	2.93574	0.04691	36.89276	34.27495
"ID=PCA_SD_06119"	0	0.00146	0.00153	0.00139	0.00139	0.0981	0.19046	-0.01322	13.9251	22.01602
"ID=PCA_SD_06120"	0	0.0039	0.00472	0.00352	0.00301	0.28283	1.3943	0.05771	21.6026	30.17633
"ID=PCA_SD_06238"	0	0.00209	0	0.0013	NA	1.56121	NA	NA	39.07218	NA
"ID=PCA_SD_06273"	0	0.00679	0.00556	0.00571	0.00503	0.57912	0.31412	NA	50.68902	52.01489
