Busco_id	Status	Sequence	Score	Length
EOG092R0393	Complete	PCA_SD_14204	489.8	384
EOG092R039K	Complete	PCA_SD_05698	871.7	669
EOG092R039Q	Complete	PCA_SD_08659	735.0	371
EOG092R039V	Complete	PCA_SD_16278	812.1	641
EOG092R03AF	Complete	PCA_SD_01365	1178.9	718
EOG092R03AG	Complete	PCA_SD_02438	653.4	620
EOG092R03AL	Complete	PCA_SD_04765	1110.0	601
EOG092R03AM	Complete	PCA_SD_04686	845.1	577
EOG092R03BY	Complete	PCA_SD_09616	719.5	552
EOG092R03CC	Complete	PCA_SD_00881	712.4	681
EOG092R03CM	Complete	PCA_SD_01343	291.5	266
EOG092R03CW	Complete	PCA_SD_08900	899.4	601
EOG092R03DJ	Duplicated	PCA_SD_15762	1242.7	726
EOG092R03DJ	Duplicated	PCA_SD_26423	1242.7	726
EOG092R03DL	Complete	PCA_SD_13762	446.1	267
EOG092R03DO	Complete	PCA_SD_08554	604.4	338
EOG092R03DS	Complete	PCA_SD_00734	637.6	680
EOG092R03F0	Complete	PCA_SD_15789	877.0	646
EOG092R03FK	Complete	PCA_SD_01113	842.3	521
EOG092R03GK	Complete	PCA_SD_10597	810.4	627
EOG092R03GX	Complete	PCA_SD_02783	441.5	316
EOG092R03HT	Complete	PCA_SD_00524	1143.9	625
EOG092R03JE	Complete	PCA_SD_11836	450.6	429
EOG092R03JI	Complete	PCA_SD_11828	317.6	460
EOG092R03JU	Complete	PCA_SD_14101	522.0	537
EOG092R03K4	Complete	PCA_SD_00689	813.8	699
EOG092R03LA	Complete	PCA_SD_05751	591.3	464
EOG092R03LT	Duplicated	PCA_SD_04602	1252.6	653
EOG092R03LT	Duplicated	PCA_SD_23154	1252.6	653
EOG092R03M8	Complete	PCA_SD_01032	458.8	381
EOG092R03MM	Complete	PCA_SD_00468	647.5	629
EOG092R03MU	Complete	PCA_SD_11421	469.5	298
EOG092R03N3	Complete	PCA_SD_10405	349.2	395
EOG092R03NF	Complete	PCA_SD_19823	886.4	731
EOG092R03NH	Complete	PCA_SD_02242	1058.6	559
EOG092R03O3	Complete	PCA_SD_09017	387.4	254
EOG092R03OF	Complete	PCA_SD_02054	1219.7	627
EOG092R03P3	Complete	PCA_SD_15939	614.8	402
EOG092R03PP	Complete	PCA_SD_06739	848.6	540
EOG092R03QD	Complete	PCA_SD_08016	1014.4	645
EOG092R03R2	Complete	PCA_SD_16109	440.3	331
EOG092R03S0	Complete	PCA_SD_04623	878.3	583
EOG092R03S3	Complete	PCA_SD_06407	940.9	555
EOG092R03S5	Complete	PCA_SD_12447	391.6	263
EOG092R03S6	Complete	PCA_SD_02561	373.0	300
EOG092R03ST	Complete	PCA_SD_06419	766.8	658
EOG092R03U6	Complete	PCA_SD_08228	871.5	560
EOG092R03VI	Complete	PCA_SD_06982	950.7	702
EOG092R03VP	Complete	PCA_SD_10781	705.0	539
EOG092R03WR	Complete	PCA_SD_11429	579.6	632
EOG092R03XA	Fragmented	PCA_SD_03878	440.9	339
EOG092R03XN	Complete	PCA_SD_13960	220.6	640
EOG092R03XU	Complete	PCA_SD_09843	396.8	512
EOG092R03ZJ	Complete	PCA_SD_08613	936.2	725
EOG092R040D	Complete	PCA_SD_04932	182.6	245
EOG092R040T	Complete	PCA_SD_00054	448.2	547
EOG092R0414	Complete	PCA_SD_02894	598.3	546
EOG092R041D	Complete	PCA_SD_03442	392.0	478
EOG092R041W	Complete	PCA_SD_06257	1107.4	605
EOG092R041Z	Complete	PCA_SD_02928	342.9	457
EOG092R042D	Complete	PCA_SD_07662	932.9	545
EOG092R042R	Complete	PCA_SD_03963	756.3	518
EOG092R0435	Complete	PCA_SD_04636	353.1	562
EOG092R043H	Complete	PCA_SD_03773	740.4	456
EOG092R044E	Complete	PCA_SD_01374	963.2	551
EOG092R044P	Complete	PCA_SD_08064	503.9	774
EOG092R0453	Duplicated	PCA_SD_19484	847.3	523
EOG092R0453	Duplicated	PCA_SD_24739	847.3	523
EOG092R045F	Complete	PCA_SD_03077	837.1	719
EOG092R0463	Complete	PCA_SD_08063	942.3	540
EOG092R046E	Complete	PCA_SD_03980	467.4	352
EOG092R046U	Complete	PCA_SD_02280	241.2	293
EOG092R0470	Complete	PCA_SD_04856	542.5	480
EOG092R047C	Complete	PCA_SD_09935	419.4	557
EOG092R047O	Complete	PCA_SD_09050	494.6	390
EOG092R047R	Complete	PCA_SD_01517	1357.4	1135
EOG092R047X	Complete	PCA_SD_06006	535.8	464
EOG092R04AM	Complete	PCA_SD_11188	644.0	524
EOG092R04B7	Duplicated	PCA_SD_09658	511.9	449
EOG092R04B7	Duplicated	PCA_SD_09660	528.7	449
EOG092R04C9	Complete	PCA_SD_03951	1056.7	568
EOG092R04D6	Complete	PCA_SD_16332	454.3	415
EOG092R04D7	Complete	PCA_SD_06642	442.3	316
EOG092R04DC	Complete	PCA_SD_11356	540.8	369
EOG092R04E5	Complete	PCA_SD_01146	1055.2	597
EOG092R04EG	Complete	PCA_SD_11708	901.9	660
EOG092R04EN	Complete	PCA_SD_14186	664.3	468
EOG092R04F0	Complete	PCA_SD_05454	989.3	571
EOG092R04F8	Complete	PCA_SD_03915	871.6	550
EOG092R04FD	Complete	PCA_SD_04767	1088.5	653
EOG092R04G8	Complete	PCA_SD_01410	553.9	542
EOG092R04HK	Complete	PCA_SD_18636	1225.1	810
EOG092R04IN	Complete	PCA_SD_00962	496.4	420
EOG092R04JP	Complete	PCA_SD_01497	569.4	424
EOG092R04KO	Complete	PCA_SD_17459	1150.0	615
EOG092R04KV	Complete	PCA_SD_03423	220.0	175
EOG092R04LA	Complete	PCA_SD_03881	653.6	530
EOG092R04M7	Complete	PCA_SD_04736	706.9	500
EOG092R04MI	Duplicated	PCA_SD_02785	637.3	613
EOG092R04MI	Duplicated	PCA_SD_21869	541.9	621
EOG092R04N3	Complete	PCA_SD_07836	797.4	547
EOG092R04OV	Complete	PCA_SD_20875	699.6	384
EOG092R04P0	Complete	PCA_SD_19148	1746.0	1223
EOG092R04P4	Complete	PCA_SD_16742	287.6	509
EOG092R04PE	Complete	PCA_SD_03127	773.8	563
EOG092R04PJ	Complete	PCA_SD_05857	861.9	531
EOG092R04PO	Complete	PCA_SD_10680	572.0	582
EOG092R04PS	Complete	PCA_SD_06044	1219.4	653
EOG092R04QM	Complete	PCA_SD_15179	457.3	317
EOG092R04RH	Complete	PCA_SD_09040	430.1	329
EOG092R04RX	Complete	PCA_SD_04311	599.4	444
EOG092R04SD	Complete	PCA_SD_01797	373.1	432
EOG092R04SM	Complete	PCA_SD_01680	243.7	265
EOG092R04SS	Complete	PCA_SD_15395	1065.9	517
EOG092R04VB	Complete	PCA_SD_01249	408.5	253
EOG092R04W3	Complete	PCA_SD_19149	779.3	503
EOG092R04WN	Complete	PCA_SD_16481	660.8	679
EOG092R04WO	Complete	PCA_SD_00474	668.0	740
EOG092R04X2	Complete	PCA_SD_11753	1000.8	609
EOG092R04Y3	Fragmented	PCA_SD_00362	531.6	290
EOG092R04Y7	Complete	PCA_SD_04535	512.4	274
EOG092R050B	Complete	PCA_SD_03578	416.9	315
EOG092R050F	Complete	PCA_SD_03911	679.0	408
EOG092R0510	Complete	PCA_SD_13202	620.0	540
EOG092R051T	Complete	PCA_SD_12708	434.5	478
EOG092R0524	Complete	PCA_SD_05901	851.8	517
EOG092R052F	Complete	PCA_SD_02532	413.0	301
EOG092R052Q	Complete	PCA_SD_07072	978.6	554
EOG092R053O	Complete	PCA_SD_08451	433.5	429
EOG092R054E	Complete	PCA_SD_20060	1069.8	558
EOG092R054L	Complete	PCA_SD_12712	229.8	387
EOG092R054Y	Complete	PCA_SD_05032	535.7	538
EOG092R056Q	Complete	PCA_SD_02207	417.6	317
EOG092R056X	Fragmented	PCA_SD_09161	715.1	433
EOG092R0570	Complete	PCA_SD_00382	747.8	398
EOG092R057B	Complete	PCA_SD_14641	200.4	232
EOG092R057L	Complete	PCA_SD_08922	319.1	341
EOG092R058I	Complete	PCA_SD_06260	697.7	583
EOG092R0590	Duplicated	PCA_SD_05480	798.3	447
EOG092R0590	Duplicated	PCA_SD_05489	862.2	442
EOG092R059D	Complete	PCA_SD_02674	392.5	414
EOG092R059S	Complete	PCA_SD_16985	687.2	539
EOG092R05AD	Complete	PCA_SD_08145	364.2	315
EOG092R05BI	Complete	PCA_SD_17816	848.4	453
EOG092R05BW	Complete	PCA_SD_13005	522.3	407
EOG092R05DL	Complete	PCA_SD_09132	1128.6	564
EOG092R05E8	Complete	PCA_SD_04609	406.1	375
EOG092R05EA	Duplicated	PCA_SD_10217	303.8	252
EOG092R05EA	Duplicated	PCA_SD_15439	335.1	337
EOG092R05EA	Duplicated	PCA_SD_15469	316.9	288
EOG092R05EA	Duplicated	PCA_SD_25648	301.1	288
EOG092R05FZ	Complete	PCA_SD_20114	370.3	346
EOG092R05HF	Complete	PCA_SD_06288	972.2	464
EOG092R05J5	Complete	PCA_SD_07520	766.9	462
EOG092R05ND	Complete	PCA_SD_02666	170.6	273
EOG092R05PY	Complete	PCA_SD_05271	574.6	479
EOG092R05R4	Complete	PCA_SD_07352	808.5	485
EOG092R05SX	Complete	PCA_SD_15888	423.0	437
EOG092R05SZ	Complete	PCA_SD_06903	980.0	576
EOG092R05TB	Duplicated	PCA_SD_00700	695.6	383
EOG092R05TB	Duplicated	PCA_SD_17699	680.9	383
EOG092R05TX	Complete	PCA_SD_03030	793.4	476
EOG092R05V7	Complete	PCA_SD_05520	618.1	440
EOG092R05VL	Complete	PCA_SD_08912	1164.2	622
EOG092R05VY	Complete	PCA_SD_03125	828.8	500
EOG092R05WP	Complete	PCA_SD_25727	676.1	398
EOG092R05YF	Complete	PCA_SD_06970	657.3	498
EOG092R05ZC	Complete	PCA_SD_20237	600.8	418
EOG092R061J	Complete	PCA_SD_05851	552.4	448
EOG092R061N	Complete	PCA_SD_12348	476.5	523
EOG092R0633	Complete	PCA_SD_05652	425.4	450
EOG092R0637	Complete	PCA_SD_01799	952.2	504
EOG092R063F	Complete	PCA_SD_01250	279.8	768
EOG092R063X	Duplicated	PCA_SD_07066	668.0	491
EOG092R063X	Duplicated	PCA_SD_09346	630.7	491
EOG092R0645	Complete	PCA_SD_12968	871.5	500
EOG092R066G	Complete	PCA_SD_13148	738.5	447
EOG092R067Q	Complete	PCA_SD_07059	429.3	551
EOG092R0685	Complete	PCA_SD_13803	885.3	486
EOG092R068U	Complete	PCA_SD_08071	708.7	453
EOG092R069Y	Complete	PCA_SD_02384	798.4	538
EOG092R06B7	Complete	PCA_SD_12497	245.5	365
EOG092R06BC	Complete	PCA_SD_01400	353.1	383
EOG092R06DT	Fragmented	PCA_SD_06631	386.7	301
EOG092R06EH	Complete	PCA_SD_09345	146.6	118
EOG092R06ER	Complete	PCA_SD_07995	419.5	327
EOG092R06EZ	Complete	PCA_SD_12493	445.1	382
EOG092R06HA	Complete	PCA_SD_07257	611.5	514
EOG092R06IK	Complete	PCA_SD_00837	903.3	433
EOG092R06J6	Complete	PCA_SD_00161	592.8	452
EOG092R06JB	Complete	PCA_SD_04360	294.1	237
EOG092R06K7	Complete	PCA_SD_08577	960.3	500
EOG092R06KY	Complete	PCA_SD_00173	149.9	208
EOG092R06LD	Complete	PCA_SD_02249	640.8	429
EOG092R06LI	Complete	PCA_SD_05627	339.6	403
EOG092R06NL	Complete	PCA_SD_10905	694.0	431
EOG092R06P4	Complete	PCA_SD_12286	306.7	376
EOG092R06RU	Complete	PCA_SD_05008	708.3	544
EOG092R06SP	Complete	PCA_SD_18735	489.6	349
EOG092R06TP	Complete	PCA_SD_05998	970.8	495
EOG092R06U0	Complete	PCA_SD_15399	429.0	350
EOG092R06VC	Complete	PCA_SD_01850	719.9	445
EOG092R06VN	Complete	PCA_SD_07285	508.4	388
EOG092R06VY	Complete	PCA_SD_00531	608.0	598
EOG092R06X8	Complete	PCA_SD_03049	390.1	327
EOG092R06XC	Complete	PCA_SD_12826	566.8	453
EOG092R06XU	Fragmented	PCA_SD_02604	107.1	107
EOG092R06XW	Complete	PCA_SD_05582	257.5	445
EOG092R06ZW	Complete	PCA_SD_03320	666.2	372
EOG092R070F	Complete	PCA_SD_00200	973.7	501
EOG092R0717	Fragmented	PCA_SD_06898	406.5	281
EOG092R0720	Complete	PCA_SD_15141	723.2	370
EOG092R072B	Complete	PCA_SD_04990	875.0	480
EOG092R072K	Complete	PCA_SD_01841	574.1	391
EOG092R072T	Duplicated	PCA_SD_12499	496.3	419
EOG092R072T	Duplicated	PCA_SD_22454	486.4	400
EOG092R073C	Complete	PCA_SD_17859	634.0	414
EOG092R0764	Complete	PCA_SD_12361	455.7	344
EOG092R076W	Complete	PCA_SD_01611	915.8	491
EOG092R0773	Complete	PCA_SD_05153	930.6	440
EOG092R077C	Complete	PCA_SD_00545	339.4	255
EOG092R077Q	Complete	PCA_SD_22029	1003.6	527
EOG092R0785	Complete	PCA_SD_11062	459.2	369
EOG092R079G	Complete	PCA_SD_19467	329.5	538
EOG092R07A5	Complete	PCA_SD_13238	471.4	375
EOG092R07AD	Complete	PCA_SD_06781	678.8	487
EOG092R07BH	Complete	PCA_SD_17831	153.0	354
EOG092R07BO	Complete	PCA_SD_01445	511.4	399
EOG092R07CR	Complete	PCA_SD_04829	560.0	302
EOG092R07DK	Complete	PCA_SD_17996	356.5	509
EOG092R07DL	Complete	PCA_SD_07041	280.8	392
EOG092R07DQ	Complete	PCA_SD_07274	728.0	406
EOG092R07EZ	Complete	PCA_SD_03021	394.3	333
EOG092R07G0	Complete	PCA_SD_04170	386.2	297
EOG092R07GB	Complete	PCA_SD_04513	593.9	420
EOG092R07GM	Complete	PCA_SD_14951	546.1	400
EOG092R07H5	Complete	PCA_SD_08570	843.6	460
EOG092R07HE	Complete	PCA_SD_15604	116.6	228
EOG092R07HG	Complete	PCA_SD_18893	449.7	557
