Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","231","United States of America","5510","Production","75","Oats","1998","1998","tonnes","2406120","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","1999","1999","tonnes","2113780","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2000","2000","tonnes","2165120","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2001","2001","tonnes","1706990","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2002","2002","tonnes","1683760","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2003","2003","tonnes","2095710","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2004","2004","tonnes","1679310","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2005","2005","tonnes","1667170","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2006","2006","tonnes","1357470","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2007","2007","tonnes","1312590","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2008","2008","tonnes","1307090","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2009","2009","tonnes","1321490","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2010","2010","tonnes","1188140","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2011","2011","tonnes","727580","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2012","2012","tonnes","892470","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2013","2013","tonnes","938280","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2014","2014","tonnes","1019410","","Official data"
"QC","Crops","231","United States of America","5510","Production","75","Oats","2015","2015","tonnes","1299600","","Official data"
